'sample #',amp,amp2,time
253,1014,1042,702.581
254,1014,1043,705.358
255,1018,1048,708.135
256,1022,1046,710.912
257,1024,1050,713.689
258,1027,1046,716.466
259,1023,1043,719.243
260,1029,1043,722.02
261,1031,1045,724.797
262,1036,1044,727.574
263,1041,1044,730.351
264,1045,1043,733.128
265,1044,1040,735.905
266,1046,1042,738.682
267,1050,1045,741.459
268,1058,1045,744.236
269,1065,1046,747.013
270,1067,1042,749.79
271,1071,1041,752.567
272,1074,1042,755.344
273,1081,1043,758.121
274,1085,1046,760.898
275,1093,1045,763.675
276,1096,1042,766.452
277,1100,1038,769.229
278,1103,1039,772.006
279,1111,1042,774.783
280,1116,1043,777.56
281,1123,1041,780.337
282,1127,1041,783.114
283,1131,1037,785.891
284,1132,1038,788.668
285,1140,1038,791.445
286,1149,1040,794.222
287,1155,1038,796.999
288,1158,1034,799.776
289,1162,1035,802.553
290,1164,1036,805.33
291,1170,1040,808.107
292,1174,1040,810.884
293,1181,1041,813.661
294,1185,1038,816.438
295,1184,1038,819.215
296,1183,1036,821.992
297,1185,1042,824.769
298,1186,1043,827.546
299,1182,1043,830.323
300,1176,1043,833.1
301,1168,1039,835.877
302,1159,1041,838.654
303,1150,1042,841.431
304,1140,1046,844.208
305,1134,1045,846.985
306,1120,1046,849.762
307,1108,1043,852.539
308,1091,1045,855.316
309,1081,1048,858.093
310,1070,1050,860.87
311,1058,1051,863.647
312,1045,1046,866.424
313,1032,1044,869.201
314,1016,1043,871.978
315,1009,1045,874.755
316,1004,1047,877.532
317,997,1045,880.309
318,988,1047,883.086
319,978,1045,885.863
320,972,1044,888.64
321,969,1047,891.417
322,968,1048,894.194
323,970,1047,896.971
324,965,1045,899.748
325,959,1043,902.525
326,953,1043,905.302
327,954,1045,908.079
328,954,1047,910.856
329,954,1048,913.633
330,950,1047,916.41
331,946,1043,919.187
332,945,1044,921.964
333,946,1046,924.741
334,948,1046,927.518
335,947,1048,930.295
336,948,1044,933.072
337,942,1046,935.849
338,942,1044,938.626
339,941,1050,941.403
340,942,1049,944.18
341,946,1047,946.957
342,945,1048,949.734
343,942,1044,952.511
344,939,1045,955.288
345,941,1048,958.065
346,944,1051,960.842
347,947,1048,963.619
348,945,1048,966.396
349,942,1046,969.173
350,940,1043,971.95
351,943,1047,974.727
352,944,1051,977.504
353,946,1050,980.281
354,944,1047,983.058
355,943,1045,985.835
356,939,1047,988.612
357,938,1048,991.389
358,945,1052,994.166
359,945,1051,996.943
360,944,1048,999.72
361,939,1047,1002.497
362,940,1046,1005.274
363,939,1050,1008.051
364,944,1053,1010.828
365,945,1050,1013.605
366,945,1050,1016.382
367,943,1048,1019.159
368,940,1048,1021.936
369,940,1051,1024.713
370,940,1054,1027.49
371,943,1050,1030.267
372,942,1049,1033.044
373,942,1047,1035.821
374,938,1047,1038.598
375,940,1051,1041.375
376,943,1052,1044.152
377,944,1052,1046.929
378,940,1049,1049.706
379,939,1048,1052.483
380,937,1050,1055.26
381,938,1052,1058.037
382,940,1051,1060.814
383,944,1054,1063.591
384,942,1052,1066.368
385,936,1050,1069.145
386,936,1050,1071.922
387,938,1053,1074.699
388,940,1054,1077.476
389,938,1054,1080.253
390,936,1052,1083.03
391,933,1048,1085.807
392,933,1049,1088.584
393,933,1051,1091.361
394,937,1055,1094.138
395,939,1054,1096.915
396,936,1050,1099.692
397,933,1049,1102.469
398,931,1051,1105.246
399,933,1054,1108.023
400,935,1057,1110.8
401,938,1055,1113.577
402,933,1051,1116.354
403,930,1050,1119.131
404,930,1052,1121.908
405,931,1055,1124.685
406,932,1056,1127.462
407,934,1054,1130.239
408,932,1053,1133.016
409,933,1052,1135.793
410,931,1051,1138.57
411,932,1055,1141.347
412,932,1059,1144.124
413,934,1057,1146.901
414,933,1055,1149.678
415,930,1054,1152.455
416,928,1053,1155.232
417,928,1056,1158.009
418,932,1057,1160.786
419,934,1059,1163.563
420,934,1055,1166.34
421,931,1054,1169.117
422,930,1055,1171.894
423,930,1059,1174.671
424,933,1061,1177.448
425,936,1062,1180.225
426,934,1057,1183.002
427,932,1055,1185.779
428,930,1056,1188.556
429,932,1058,1191.333
430,933,1059,1194.11
431,932,1059,1196.887
432,934,1060,1199.664
433,931,1055,1202.441
434,928,1058,1205.218
435,931,1061,1207.995
436,935,1063,1210.772
437,935,1063,1213.549
438,933,1061,1216.326
439,929,1058,1219.103
440,931,1061,1221.88
441,930,1063,1224.657
442,935,1066,1227.434
443,934,1063,1230.211
444,933,1062,1232.988
445,931,1062,1235.765
446,929,1061,1238.542
447,934,1066,1241.319
448,933,1067,1244.096
449,937,1066,1246.873
450,933,1065,1249.65
451,929,1064,1252.427
452,930,1067,1255.204
453,932,1066,1257.981
454,932,1070,1260.758
455,934,1069,1263.535
456,936,1068,1266.312
457,930,1066,1269.089
458,934,1065,1271.866
459,933,1069,1274.643
460,937,1072,1277.42
461,938,1072,1280.197
462,938,1070,1282.974
463,935,1067,1285.751
464,935,1070,1288.528
465,933,1070,1291.305
466,938,1074,1294.082
467,940,1075,1296.859
468,939,1072,1299.636
469,934,1068,1302.413
470,935,1070,1305.19
471,935,1074,1307.967
472,939,1075,1310.744
473,939,1077,1313.521
474,935,1073,1316.298
475,938,1071,1319.075
476,932,1074,1321.852
477,937,1076,1324.629
478,936,1078,1327.406
479,938,1078,1330.183
480,937,1075,1332.96
481,935,1073,1335.737
482,935,1077,1338.514
483,937,1076,1341.291
484,937,1080,1344.068
485,938,1079,1346.845
486,939,1077,1349.622
487,934,1076,1352.399
488,935,1076,1355.176
489,938,1080,1357.953
490,939,1081,1360.73
491,940,1082,1363.507
492,939,1080,1366.284
493,937,1078,1369.061
494,937,1078,1371.838
495,937,1082,1374.615
496,940,1084,1377.392
497,943,1084,1380.169
